id,source_name,GPC_refno,city_name,locode,temporal_granularity,year,activity_name,activity_value,activity_units,gas_name,emission_factor_value,emission_factor_units,emissions_value,emissions_units
27be198e-b81d-3598-9e3f-26680f66a2d8,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by BUS transportation mode in INBOUND trips,80666417,km,CO2,,,38083967,kg
a13f9b3b-6592-3683-8955-cfb4783b3a7a,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by BUS transportation mode in INBOUND trips,50722728,km,CO2,,,23947050,kg
7c116715-5b94-361e-8ba2-d48497538bf6,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by BUS transportation mode in INBOUND trips,28369734,km,CO2,,,13393827,kg
8e4cbafc-1556-32c6-ae18-9cd81ae6211d,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by BUS transportation mode in INBOUND trips,45158119,km,CO2,,,21319905,kg
3edc73dd-a3be-3a8b-b148-d9399b669349,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by BUS transportation mode in INBOUND trips,41861316,km,CO2,,,19763427,kg
446c5af4-f16a-37db-9514-64607e97c661,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by BUS transportation mode in OUTBOUND trips,76038124,km,CO2,,,35898872,kg
81163da2-64d6-3919-8661-e731b3757bcd,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by BUS transportation mode in OUTBOUND trips,48166948,km,CO2,,,22740423,kg
47c3b76a-273f-3938-b045-7bb8b3ebcc33,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by BUS transportation mode in OUTBOUND trips,26798036,km,CO2,,,12651802,kg
5943a135-8c99-37b3-b99e-e2f7291d346b,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by BUS transportation mode in OUTBOUND trips,39225819,km,CO2,,,18519166,kg
00999491-c9b8-3848-9273-f366dcb16bbd,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by BUS transportation mode in OUTBOUND trips,39844456,km,CO2,,,18811234,kg
7d693432-fb1a-3540-8a1c-88530ac9d8f0,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by MOTORCYCLE transportation mode in IN-BOUNDARY trips,16658158,km,CO2,,,1214612,kg
7be71041-6f83-30a2-ad9a-8bc2f02247c1,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by MOTORCYCLE transportation mode in IN-BOUNDARY trips,17186655,km,CO2,,,1253147,kg
3b090ed6-abbd-3689-b598-ae495d8194e8,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by MOTORCYCLE transportation mode in IN-BOUNDARY trips,11493965,km,CO2,,,838070,kg
68d2257e-bec3-3db1-9f6d-74c257ba4a6c,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by MOTORCYCLE transportation mode in IN-BOUNDARY trips,17298449,km,CO2,,,1261299,kg
f5715be6-a3d7-3206-8f19-72f0e6fbd16f,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by MOTORCYCLE transportation mode in IN-BOUNDARY trips,4887671,km,CO2,,,356380,kg
faec919c-c1d9-3e93-a44a-7edd958fe94f,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by MOTORCYCLE transportation mode in INBOUND trips,19774234,km,CO2,,,1441818,kg
d69e66d2-5a39-33bc-a9ff-e7e2a901b394,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by MOTORCYCLE transportation mode in INBOUND trips,18610991,km,CO2,,,1357001,kg
d0d17ddd-8d3a-3c0d-a87d-febacb7f0880,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by MOTORCYCLE transportation mode in INBOUND trips,12350015,km,CO2,,,900488,kg
bbbc6b3c-c010-3073-9c0d-b0b230c643b6,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by MOTORCYCLE transportation mode in INBOUND trips,35028620,km,CO2,,,2554076,kg
92989755-cb1f-376c-9341-fb6ffc8b0909,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by MOTORCYCLE transportation mode in INBOUND trips,23734070,km,CO2,,,1730545,kg
085e7a67-d751-31e0-8b4e-73afbd225a51,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by MOTORCYCLE transportation mode in OUTBOUND trips,19301670,km,CO2,,,1407361,kg
4d45c368-7e03-31d8-9337-5517e5c18dac,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by MOTORCYCLE transportation mode in OUTBOUND trips,18032920,km,CO2,,,1314852,kg
3de09dc9-056f-32f1-bcb3-290d5650d559,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by MOTORCYCLE transportation mode in OUTBOUND trips,12088568,km,CO2,,,881425,kg
c0ebf67e-5c7b-38f4-949f-64bf71dc5a4f,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by MOTORCYCLE transportation mode in OUTBOUND trips,33535375,km,CO2,,,2445198,kg
c55bb4ff-ef2f-3ad2-8d7f-2814d1352427,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by MOTORCYCLE transportation mode in OUTBOUND trips,21005278,km,CO2,,,1531578,kg
