"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"BUS","INBOUND","9882654","90316239","45158119.5","42639.8103","21319.9052","2019"
"BUS","INBOUND","11056965","83722632","41861316","39526.8546","19763.4273","2018"
"BUS","OUTBOUND","19730488","152076248","76038124","71797.7458","35898.8729","2022"
"BUS","OUTBOUND","12737802","96333897","48166948.5","45480.8475","22740.4238","2021"
"BUS","OUTBOUND","7212628","53596072","26798036","25303.604","12651.802","2020"
"BUS","OUTBOUND","9232724","78451639","39225819.5","37038.3338","18519.1669","2019"
"BUS","OUTBOUND","10407590","79688913","39844456.5","37622.4684","18811.2342","2018"
"BUS","TOTAL","47005605","338493410","181788868.5","159808.4127","85825.572","2022"
"BUS","TOTAL","29788922","212231594","113341917","100198.093","53510.6189","2021"
"BUS","TOTAL","17033581","119053308","63885537.5","56207.0623","30161.4331","2020"
"BUS","TOTAL","23917595","184654723","100270784","87178.5899","47339.5179","2019"
"BUS","TOTAL","27638191","181717458","100011685.5","85791.8507","47217.1892","2018"
"CYCLING","IN-BOUNDARY","3614725","8965120","8965120","0","0","2022"
"CYCLING","IN-BOUNDARY","4163339","9790660","9790660","0","0","2021"
"CYCLING","IN-BOUNDARY","2882663","6851409","6851409","0","0","2020"
"CYCLING","IN-BOUNDARY","4136631","8368392","8368392","0","0","2019"
"CYCLING","IN-BOUNDARY","3359087","7820362","7820362","0","0","2018"
"CYCLING","INBOUND","2271010","11135799","5567899.5","0","0","2022"
"CYCLING","INBOUND","2381716","12054408","6027204","0","0","2021"
"CYCLING","INBOUND","1687031","8485558","4242779","0","0","2020"
"CYCLING","INBOUND","2197726","10387869","5193934.5","0","0","2019"
"CYCLING","INBOUND","2328212","11180583","5590291.5","0","0","2018"
"CYCLING","OUTBOUND","2211897","10749165","5374582.5","0","0","2022"
"CYCLING","OUTBOUND","2329919","11596879","5798439.5","0","0","2021"
"CYCLING","OUTBOUND","1657059","8228819","4114409.5","0","0","2020"
"CYCLING","OUTBOUND","2199477","10452527","5226263.5","0","0","2019"
"CYCLING","OUTBOUND","2440633","12183817","6091908.5","0","0","2018"
"CYCLING","TOTAL","8097632","30850084","19907602","0","0","2022"
"CYCLING","TOTAL","8874974","33441947","21616303.5","0","0","2021"
"CYCLING","TOTAL","6226753","23565786","15208597.5","0","0","2020"
"CYCLING","TOTAL","8533834","29208788","18788590","0","0","2019"
"CYCLING","TOTAL","8127932","31184762","19502562","0","0","2018"
"MOTORCYCLE","IN-BOUNDARY","4695103","16658158","16658158","1214.6128","1214.6128","2022"
"MOTORCYCLE","IN-BOUNDARY","5469027","17186655","17186655","1253.1476","1253.1476","2021"
"MOTORCYCLE","IN-BOUNDARY","3849110","11493965","11493965","838.0709","838.0709","2020"
"MOTORCYCLE","IN-BOUNDARY","5371409","17298449","17298449","1261.299","1261.299","2019"
"MOTORCYCLE","IN-BOUNDARY","1148877","4887671","4887671","356.38","356.38","2018"
"MOTORCYCLE","INBOUND","5366208","39548468","19774234","2883.6367","1441.8183","2022"
"MOTORCYCLE","INBOUND","5368400","37221982","18610991","2714.0033","1357.0017","2021"
"MOTORCYCLE","INBOUND","3696230","24700031","12350015.5","1800.9779","900.4889","2020"
"MOTORCYCLE","INBOUND","8741136","70057240","35028620","5108.1531","2554.0765","2019"
"MOTORCYCLE","INBOUND","4848851","47468141","23734070.5","3461.0919","1730.5459","2018"
"MOTORCYCLE","OUTBOUND","5272296","38603341","19301670.5","2814.7237","1407.3619","2022"
"MOTORCYCLE","OUTBOUND","5273154","36065841","18032920.5","2629.7045","1314.8522","2021"
"MOTORCYCLE","OUTBOUND","3620522","24177136","12088568","1762.8515","881.4258","2020"
"MOTORCYCLE","OUTBOUND","8547141","67070751","33535375.5","4890.3962","2445.1981","2019"
"MOTORCYCLE","OUTBOUND","4314595","42010557","21005278.5","3063.157","1531.5785","2018"
"MOTORCYCLE","TOTAL","15333607","94809967","55734062.5","6912.9732","4063.793","2022"
"MOTORCYCLE","TOTAL","16110581","90474478","53830566.5","6596.8554","3925.0015","2021"
"MOTORCYCLE","TOTAL","11165862","60371132","35932548.5","4401.9003","2619.9856","2020"
"MOTORCYCLE","TOTAL","22659686","154426440","85862444.5","11259.8483","6260.5736","2019"
"MOTORCYCLE","TOTAL","10312323","94366369","49627020","6880.6289","3618.5045","2018"
"ON FOOT","IN-BOUNDARY","93650228","67257117","67257117","0","0","2022"
"ON FOOT","IN-BOUNDARY","73969312","50456862","50456862","0","0","2021"
"ON FOOT","IN-BOUNDARY","44273500","30876311","30876311","0","0","2020"
"ON FOOT","IN-BOUNDARY","97501577","67972212","67972212","0","0","2019"
"ON FOOT","IN-BOUNDARY","86202992","64165891","64165891","0","0","2018"
"ON FOOT","INBOUND","5179202","9702964","4851482","0","0","2022"
"ON FOOT","INBOUND","4493274","9244472","4622236","0","0","2021"
"ON FOOT","INBOUND","3103964","6618518","3309259","0","0","2020"
"ON FOOT","INBOUND","5506787","10869915","5434957.5","0","0","2019"
"ON FOOT","INBOUND","5369128","10161272","5080636","0","0","2018"
"ON FOOT","OUTBOUND","5330106","9596320","4798160","0","0","2022"
"ON FOOT","OUTBOUND","4609545","9080223","4540111.5","0","0","2021"
"ON FOOT","OUTBOUND","3150210","6525453","3262726.5","0","0","2020"
"ON FOOT","OUTBOUND","5639406","10309955","5154977.5","0","0","2019"
"ON FOOT","OUTBOUND","5726299","10302128","5151064","0","0","2018"
"ON FOOT","TOTAL","104159536","86556401","76906759","0","0","2022"
"ON FOOT","TOTAL","83072131","68781557","59619209.5","0","0","2021"
"ON FOOT","TOTAL","50527674","44020282","37448296.5","0","0","2020"
"ON FOOT","TOTAL","108647770","89152082","78562147","0","0","2019"
"ON FOOT","TOTAL","97298419","84629291","74397591","0","0","2018"
"TRAM","INBOUND","809008","6713111","3356555.5","0","0","2019"
"TRAM","INBOUND","431509","3354435","1677217.5","0","0","2018"
"TRAM","OUTBOUND","749978","6025087","3012543.5","0","0","2019"
"TRAM","OUTBOUND","421915","3253284","1626642","0","0","2018"
"TRAM","TOTAL","1558986","12738198","6369099","0","0","2019"
"TRAM","TOTAL","853424","6607719","3303859.5","0","0","2018"
