Title,CDP definition,Priority,C40 (matched list),Adaption/Mitigation,Category 1,Category 2,Explainer for action card,Quantification,What type of Q ,Scale,Implementation Period,Cost of action ,Climate hazards adressed,Emissions Source Category,Extent,Air Quality,Human Health,Water Quality,Urban Greenspace,Ecosystems ,Long-Term Employment,Income and Poverty,Housing,Mobility,Energy,Waste Management,Water and Sanitation,Notes VM,Responsible
New Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra-high-efficiency standards for new buildings",,15,Mitigation,Stationary Energy,Buildings,"""New Building Standards, Commercial buildings"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Commercial buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
New Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra-high-efficiency standards for new buildings",,15,Mitigation,Stationary Energy,Buildings,"""New Building Standards, Institutional buidlings"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Institutional buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
New Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra-high-efficiency standards for new buildings",,15,Mitigation,Stationary Energy,Buildings,"""New Building Standards, Industrial"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Industrial buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Existing Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra high-efficiency standards for existing buildings",Y,11,Mitigation,Stationary Energy,Buildings,"""Existing Building Standards"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",Yes,Sub-versions (categories),Regional/state/national,<5 years,Low cost,,Total Stationary Energy,0-19%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Existing Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra high-efficiency standards for existing buildings",,11,Mitigation,Stationary Energy,Buildings,"""Existing Building Standards, Residential buildings"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Residential buildings,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Existing Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra high-efficiency standards for existing buildings",,11,Mitigation,Stationary Energy,Buildings,"""Existing Building Standards, Commercial buildings"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Commercial buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Existing Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra high-efficiency standards for existing buildings",,11,Mitigation,Stationary Energy,Buildings,"""Existing Building Standards, Institutional buildings"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Institutional buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Existing Building Standards,"Requirements which incentivize net zero carbon, Passivhaus or other ultra high-efficiency standards for existing buildings",,11,Mitigation,Stationary Energy,Buildings,"""Existing Building Standards, Industrial buildings"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",,,Regional/state/national,<5 years,Low cost,,Stationary energy > Industrial buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
Municipal Buildings,Action to advance net zero carbon municipal buildings,Y,13,Mitigation,Stationary Energy,City administration,"""Municipal Buildings"" focus on implementing eco-friendly practices and standards in government-owned structures, showcasing the city's commitment to sustainability while serving as a model for environmentally responsible construction.",No,,Citywide,5-10 years,High cost,,Stationary energy > Institutional buildings & facilities,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Negative,Neutral,Somewhat Positive,Neutral,Neutral,,SJE
On-Site Renewables,On-site renewable energy generation,Y,,Mitigation,Stationary Energy,Renewable energy,,,,,,,,,,,,,,,,,,,,,,,SJE
Heat Networks,Domestic and/or commercial heat network,Y,,Mitigation,Stationary Energy,Heating and cooling,"""Heat Networks"" involve the development of efficient systems for distributing heat, promoting energy conservation and reducing carbon footprints in urban areas. This initiative aims to enhance the sustainability of heating infrastructure within the city.",Yes,Production Capacity (unit),Regional/state/national,5-10 years,High cost,,Total Stationary Energy,40%-59%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,https://www.google.com/search?q=How+much+energy+is+used+on+heating%2Fcooling&rlz=1C1GCEU_enDK1063DK1063&oq=How+much+energy+is+used+on+heating%2Fcooling&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY1OTFqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,SJE
Clean heating/cooling,Increase use of clean energy sources for heating and cooling buildings,Y,,Mitigation,Stationary Energy,Heating and cooling,"""Increase use of clean energy sources for heating and cooling buildings"" emphasizes the transition to renewable and low-carbon energy systems in the heating and cooling sectors of urban infrastructure. By promoting the adoption of sustainable technologies such as solar, geothermal, or district energy systems, cities aim to reduce carbon emissions, enhance energy efficiency, and create a more environmentally friendly approach to building climate control. ",Yes,Production Capacity (unit),Regional/state/national,5-10 years,High cost,,Total Stationary Energy,40%-59%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,https://www.google.com/search?q=How+much+energy+is+used+on+heating%2Fcooling&rlz=1C1GCEU_enDK1063DK1063&oq=How+much+energy+is+used+on+heating%2Fcooling&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDY1OTFqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,SJE
Bus Emissions,Improve fuel economy and reduce CO2 emissions from bus and/or light rail,Y,29,Mitigation,Transportation,Energy efficiency,"""Bus Emissions"" mitigation focuses on reducing the environmental impact of bus fleets. Implementing cleaner technologies and fuels helps minimize emissions, contributing to improved air quality and sustainable urban transportation.",Yes,Sub-version(s) (% of total),Regional/state/national,<5 years,Medium cost,,Transportation > On-road,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Ferry Emissions,Improve fuel economy and reduce CO2 emissions from ferries,Y,29,Mitigation,Transportation,Energy efficiency,"""Ferry Emissions"" reduction strategies aim to decrease the environmental footprint of water-based transportation. Implementing cleaner fuels and emission control technologies enhances the sustainability of ferry operations, preserving marine ecosystems.",Yes,Sub-version(s) (% of total),Regional/state/national,5-10 years,Medium cost,,Transportation > Waterborne navigation,20%-39%,Somewhat Positive,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Truck Emissions,Improve fuel economy and reduce CO2 emissions from trucks,Y,29,Mitigation,Transportation,Energy efficiency,"""Truck Emissions"" mitigation involves adopting cleaner fuels and technologies to reduce the environmental impact of freight transportation. This initiative aims to decrease air pollution, promote sustainability, and improve the overall efficiency of urban logistics.",Yes,Sub-version(s) (% of total),Regional/state/national,<5 years,Medium cost,,Transportation > On-road,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Vehicle Emissions,Improve fuel economy and reduce CO2 emissions from motorized vehicles,Y,26,Mitigation,Transportation,Energy efficiency,"""Vehicle Emissions"" reduction strategies focus on minimizing the environmental impact of all types of vehicles. Implementing cleaner technologies and promoting alternative fuels contribute to lower emissions, fostering sustainable and eco-friendly transportation.",Yes,Sub-version(s) (% of total),Regional/state/national,<5 years,Medium cost,,Transportation > On-road,80%-100%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Rail Improvements,"Improve rail, metro, and tram infrastructure, services and operations",Y,25,Mitigation,Transportation,,"""Rail Improvements"" involve enhancing the efficiency and sustainability of railway systems. By investing in modernization and eco-friendly practices, cities aim to promote rail as a low-emission and energy-efficient mode of transportation.",Yes,Sub-version(s) (% of total),Regional/state/national,5-10 years,High cost,,Transportation > Rail,40%-59%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Zero Emission Buses,Procurement of zero emissions buses,Y,30,Mitigation,Transportation,City administration,"""Zero Emission Buses"" initiatives focus on integrating electric or other zero-emission technologies into public transportation fleets. This strategy aims to eliminate traditional bus emissions, contributing to cleaner air and a more sustainable urban transit system.",Yes,Sub-version(s) (% of total),Citywide,<5 years,High cost,,Transportation > On-road,20%-39%,Very Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
EV Fleet,Procurement of electric vehicles for government fleet,Y,24,Mitigation,Transportation,City administration,"""EV Fleet"" initiatives involve transitioning municipal vehicle fleets to electric vehicles (EVs). By embracing electric transportation, cities reduce emissions, lower air pollution, and contribute to the overall adoption of sustainable and eco-friendly mobility solutions.",Yes,Sub-version(s) (% of total),Citywide,5-10 years,High cost,,Transportation > On-road,0-19%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
EV Charging,Electric vehicle charging points and infrastructure,Y,,Mitigation,Transportation,City administration,,,,,,,,,,,Somewhat Positive,,,,,,,,,,,,SJE
Smart Transit,Smart public transport,Y,23,Mitigation,Transportation,Educational/Informational actions,"""Smart Transit"" involves the integration of advanced technologies and data-driven solutions to enhance the efficiency and effectiveness of public transportation systems. By incorporating smart technologies, cities aim to optimize transit routes, improve service reliability, and provide a more seamless and sustainable commuting experience for residents.",No,,Citywide,5-10 years,Medium cost,,Total Transport,0-19%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Very Positive,Neutral,Neutral,Neutral,,SJE
Transit Access,"Improve walking, cycling and integrated transit access",Y,23.28,Mitigation,Transportation,,"""Transit Access"" initiatives focus on improving walking, cycling, and integrated transit access to create a more interconnected and sustainable urban transportation network. This involves enhancing infrastructure and promoting multi-modal options to reduce reliance on individual vehicles.",No,,Citywide,5-10 years,Medium cost,,Total Transport,20%-39%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Very Positive,Neutral,Neutral,Neutral,,SJE
15/30-Minute Areas,Development of 15/30-minute neighborhoods (complete neighborhoods),Y,22,Mitigation,Transportation,,"""15/30-Minute Areas"" refer to the development of complete neighborhoods where essential services, amenities, and public transport are easily accessible within a 15 or 30-minute walk or bike ride. This urban planning approach promotes sustainability by reducing the need for long-distance travel and fostering community resilience.",No,,Neighborhood,<5 years,Medium cost,,Total Transport,0-19%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Positive,Neutral,Neutral,Neutral,,SJE
Material Bans,Bans or restrictions on single use or non-recyclable materials,Y,33,Mitigation,Waste,,"""Material Bans"" involve imposing restrictions on single-use or non-recyclable materials to reduce environmental impact. By prohibiting certain materials, cities aim to promote the use of sustainable alternatives, contributing to waste reduction and overall environmental conservation.",No,,Citywide,<5 years,Low cost,,Waste > Solid waste disposal,0-19%,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Waste Efficiency,Improve the efficiency of waste collection,Y,35,Mitigation,Waste,Energy efficiency,"""Waste Efficiency"" initiatives aim to improve the efficiency of waste collection processes, reducing resource consumption and minimizing environmental impact. This includes optimizing waste management systems to enhance energy efficiency and promote sustainable waste disposal practices.",No,,Citywide,<5 years,Medium cost,,Total Waste,80%-100%,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Landfill Management,Landfill management,Y,34,Mitigation,Waste,,"""Landfill Management"" strategies focus on responsible and sustainable landfill practices to minimize environmental degradation. By adopting effective management techniques, cities aim to reduce the ecological footprint associated with landfill sites and encourage waste reduction.",No,,Site,<5 years,Medium cost,,Total Waste,60%-79%,Somewhat Positive,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Source Separation,"Adopt source separation policies (e.g., collection for dry recyclables, organic compostable waste, etc.)",Y,32,Mitigation,Waste,,"""Source Separation"" policies involve the adoption of practices like separate collection for dry recyclables and organic compostable waste. By encouraging residents to sort their waste at the source, cities promote recycling, reduce contamination, and contribute to overall waste management efficiency.",No,,Regional/state/national,<5 years,Medium cost,,Total Waste,0-19%,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Sanitary Landfills,Ensuring residual waste is disposed of adequately (in at least an engineered sanitary landfill),Y,34,Mitigation,Waste,Technological actions,"""Sanitary Landfills"" ensure proper disposal of residual waste in engineered facilities, minimizing environmental impact. This mitigation strategy involves utilizing advanced technological solutions to manage waste effectively, promoting sustainable waste disposal practices within a city.",No,,Regional/state/national,<5 years,High cost,,Total Waste,60%-79%,Somewhat Positive,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Gas Management,Sanitary landfill with leachate capture and landfill gas management system,Y,34,Mitigation,Waste,,"""Gas Management"" in sanitary landfills involves capturing leachate and managing landfill gas to mitigate environmental hazards. Implementing effective gas management systems contributes to reducing greenhouse gas emissions and enhances overall waste management sustainability.",No,,Site,5-10 years,High cost,,Total Waste,60%-79%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Somewhat Positive,Neutral,,SJE
Volume-Based Collection,"Volume based waste collection policy (e.g., fees or incentives)",Y,31,Mitigation,Waste,,"""Volume-Based Collection"" policies incentivize waste reduction by implementing fees or incentives based on the amount of waste generated. This approach encourages residents to minimize waste production, contributing to overall waste reduction goals.",No,,Citywide,5-10 years,Low cost,,Total Waste,80%-100%,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Waste Collection,City is achieving universal waste collection,Y,35,Mitigation,Waste,,"""Waste Collection"" initiatives focus on achieving universal waste collection, ensuring that all residents have access to proper waste disposal services. This contributes to a cleaner and healthier urban environment while promoting sustainable waste management practices.",No,,Citywide,5-10 years,High cost,,Total Waste,80%-100%,Somewhat Positive,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,,SJE
Biodiversity Expansion,Green space and/ or biodiversity preservation and expansion,Y,7,Mitigation,AFOLU,,"""Biodiversity Expansion"" initiatives aim to preserve and expand green spaces, promoting biodiversity within urban areas. By preserving natural habitats, cities enhance ecosystem services and create resilient environments that support diverse flora and fauna.",Yes,Sub-version(s) (% of total),Site,5-10 years,Low cost,,AFOLU > Other AFOLU,40%-59%,Somewhat Positive,Somewhat Positive,Somewhat Positive,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Low-Carbon Energy,Low or zero carbon energy supply generation,Y,16,Mitigation,Generation of grid-supplied energy,Energy efficiency,"""Low-Carbon Energy"" involves the generation of energy with low or zero carbon emissions. This mitigation strategy focuses on using eco-friendly energy sources to reduce the environmental impact associated with the generation of grid-supplied energy.",Yes,Production Capacity (unit),Regional/state/national,>10 years,High cost,,ELECTRIC GRID - Scope 2,80%-100%,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Very Positive,Neutral,Neutral,,SJE
Photovoltaic,Low or zero carbon energy supply generation,,16,Mitigation,Generation of grid-supplied energy,Energy efficiency,,,,,,,,,,,,,,,,,,,,,,,SJE
Wind,Low or zero carbon energy supply generation,,16,Mitigation,Generation of grid-supplied energy,Energy efficiency,,,,,,,,,,,,,,,,,,,,,,,SJE
Coastal Protection,Sea walls and coastal protection structures,Y,5,Adaptation,Eco-engineering,,"""Coastal Protection"" strategies include the construction of sea walls and protective structures to mitigate the impact of rising sea levels and coastal erosion. This adaptation measure enhances the resilience of coastal areas and protects communities from the impacts of climate change.",No,,Citywide,5-10 years,High cost,Flood,,,Neutral,Somewhat Positive,Neutral,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Water Storage,Water storage and pump storage,Y,3,Adaptation,Eco-engineering,,"""Water Storage"" and pump storage solutions enhance water resource management, ensuring availability during periods of scarcity. This adaptation strategy contributes to sustainable water use and resilience to climate-related challenges.",No,,Regional/state/national,5-10 years,Medium cost,Drought,,,Neutral,Somewhat Positive,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,,SJE
Improved Drainage,Improved drainage,Y,2,Adaptation,Eco-engineering,,"""Improved Drainage"" involves eco-engineering solutions to enhance drainage systems, mitigating the risk of flooding. This adaptation measure aims to improve urban resilience by minimizing the impact of extreme weather events.",No,,Citywide,5-10 years,Medium cost,Flood,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Cyclone Shelters,Flood and cyclone shelters,Y,6,Adaptation,Eco-engineering,,"""Cyclone Shelters"" provide safe havens during flood and cyclone events, enhancing community resilience. This eco-engineering adaptation ensures the safety of residents in vulnerable areas during extreme weather conditions.",No,,Citywide,<5 years,Low cost,Flood,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
White Roofs,White roofs,Y,1,Adaptation,Eco-engineering,Buildings,"""White Roofs"" utilize eco-engineering by adopting reflective roofing materials to reduce heat absorption. This adaptation strategy helps mitigate the urban heat island effect, contributing to more sustainable and climate-resilient buildings.",Yes,Sub-version(s) (% of total),Citywide,<5 years,Low cost,Heat,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,"Somewhat positive in energy, as white roofs can lower the demand for cooling",SJE
Public Shading,Shading in public spaces,Y,1,Adaptation,Eco-engineering,Ecosystem-based actions,"""Public Shading"" involves the implementation of shade structures in public spaces, contributing to eco-engineering efforts. This adaptation measure enhances outdoor comfort, reduces heat stress, and promotes sustainable urban design.",No,,Neighborhood,<5 years,Low cost,Heat,,,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Cool Pavement,Cool pavement,Y,1,Adaptation,Eco-engineering,Heating and Cooling,"""Cool Pavement"" initiatives involve the use of reflective materials to reduce pavement heat absorption. This adaptation strategy contributes to mitigating heat-related challenges, enhancing urban resilience in the context of heating and cooling.",No,,Neighborhood,5-10 years,Low cost,Heat,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,SJE
Water Savings,Water saving technologies (including rainwater harvesting),Y,3,Adaptation,Technological actions,Eco-engineering,"""Water Savings"" technologies, including rainwater harvesting, aim to conserve water resources. This adaptation measure involves technological actions to enhance eco-engineering efforts, ensuring sustainable water use in the face of changing climate conditions.",No,,Citywide,<5 years,High cost,Drought,,,Neutral,Neutral,Somewhat Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Positive,Neutral,Somewhat Positive,"Somehwat positive in energy, as the recycling/savings categories can help reduce the amount of energy used for water collecting",SJE
