gpc_refno,emissions_factor,units,gas,description,region,reference,emissions_factor_id
II.2.1,0.029,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",717137d6-aa14-492b-a402-c5892b347b01
II.5.1,0.029,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",9f7db415-b6f1-4584-a293-26baf1937d9b
II.1.1,0.036,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",0cfa89dd-40e9-4029-adc6-830040d27e4c
II.2.1,0.036,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",2d5a71db-4f17-4a24-8f2c-d890ac950187
II.5.1,0.036,g/mile Biogasoline,CH4,Emission factor,US,"Exhaust and evaporative emissions testing of flexible-fuels vehicles, CRC Report No. E-80, Coordinating Research Council, Inc., USA, 2011. (Appendix II)",6ae771e6-8927-4938-a9d4-d6875f75c59e
I.7.1,13.15,m3/tonne,CH4,Estimated Underground Emission Factors for Selected Countries,US,"US EPA (1993) Anthropogenic Methane Emissions in the United States: Estimates for 1990, Report to the US Congress, US Environmental Protection Agency , Office of Air and Radiation, Washington DC, USA",adc14f13-7ed0-41c3-8fd1-27d98186ab87
I.8.1,8395.0,kg/PJ of oil and gas produced,CH4,Summary of Methane Emission Factors,US,"US EPA (1992), Procedures for Emission Inventory Preparation, Vol. IV: Mobile Sources, EPA-450/4-81-026d. All emissions have been scaled down to 1988 energy consumption or production levels",a305025e-fd7c-414b-a24d-274b955f0cc2
I.8.1,2480.0,kg/PJ of oil produced,CH4,Summary of Methane Emission Factors,US,"US EPA (1992), Procedures for Emission Inventory Preparation, Vol. IV: Mobile Sources, EPA-450/4-81-026d. All emissions have been scaled down to 1988 energy consumption or production levels",06d24ec4-7ea5-4bcf-ad01-2ffdc178c3e5
I.8.1,888.0,kg/PJ of oil refined,CH4,Summary of Methane Emission Factors,US,"US EPA (1992), Procedures for Emission Inventory Preparation, Vol. IV: Mobile Sources, EPA-450/4-81-026d. All emissions have been scaled down to 1988 energy consumption or production levels",9067a0e0-6a08-4ec3-9e0e-b6ea4d250943
I.8.1,71905.0,kg/PJ of gas produced,CH4,Summary of Methane Emission Factors,US,"US EPA (1992), Procedures for Emission Inventory Preparation, Vol. IV: Mobile Sources, EPA-450/4-81-026d. All emissions have been scaled down to 1988 energy consumption or production levels",c29939dc-fdc7-4339-8da5-b0e483a58470
I.8.1,88135.0,kg/PJ of gas consumed,CH4,Summary of Methane Emission Factors,US,"US EPA (1992), Procedures for Emission Inventory Preparation, Vol. IV: Mobile Sources, EPA-450/4-81-026d. All emissions have been scaled down to 1988 energy consumption or production levels",d7ff63cd-437c-4b5a-baa3-b6c89c95ab3f
I.8.1,24100.0,scf/event,CH4,Emission factor for well unloading,US,,877f6501-4dce-4267-9bd8-c9c668cdf451
I.8.1,9650.0,scf/event,CH4,Emission factor for well unloading,US,,ede24b2f-c3be-422c-98c5-066c8a5e2259
I.8.1,1260.0,scf/event,CH4,Emission factor for well unloading,US,,c6dc950e-db29-4761-a354-aedcf4b0ad74
VI.1,0.1,fraction,CF4,By-Product Emission Factor for CF4 Emissions from Use of C2F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",b6ca2151-0d87-4d9b-a0e9-1a6f029ac318
VI.1,0.047,fraction,HFC-23,By-Product Emission Factor for HFC-23 (CHF3) Emissions from Use of C2F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",a9ea9992-a985-4544-882a-c7f284567ac5
VI.1,0.024,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of HFC-125 (C2HF5) in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",122bda7a-4d73-4621-8236-d1a1e653d899
VI.1,0.077,fraction,CF4,By-Product Emission Factor for CF4 Emissions from Use of HFC-125 (C2HF5) in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",3349fac0-596b-42ba-85ed-6c3a5a1a0294
VI.1,0.11,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of C4F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",8b293405-dd43-45df-a50d-7ce20a0c1464
VI.1,0.13,fraction,CF4,By-Product Emission Factor for CF4 Emissions from Use of C4F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",01243fab-5e98-4d8e-a189-8326a58e2fb1
VI.1,0.066,fraction,HFC-23,By-Product Emission Factor for HFC-23 (CHF3) Emissions from Use of C4F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",86034985-a985-46f8-b687-4247be2e884c
VI.1,0.037,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of C4F8 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",1d7589f9-c277-4ad1-8a7a-b6484f9f7086
VI.1,0.11,fraction,CF4,By-Product Emission Factor for CF4 Emissions from Use of C4F8 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",794a6fbe-66d9-4920-b78b-fa106861c73c
VI.1,0.04,fraction,HFC-23,By-Product Emission Factor for HFC-23 (CHF3) Emissions from Use of C4F6 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",6ffb8791-8806-4f07-9260-6376f01ce7a3
VI.1,0.014,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of 54F8 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",1694a8ce-9a99-4f76-938b-7bb09706e1f6
VI.1,0.004,fraction,HFC-23,By-Product Emission Factor for HFC-23 (CHF3) Emissions from Use of C5F8 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",78e2d863-84f5-4529-9b87-08c6df5b4dad
VI.1,0.046,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of CF4 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",b63eb986-b0fe-4f6e-ab56-d71b7be5876e
VI.1,0.1,fraction,HFC-23,By-Product Emission Factor for HFC-23 (CHF3) Emissions from Use of CF4 in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",a1cd4a15-d4f1-4c25-af8f-5a3aad4f09a5
VI.1,0.025,fraction,C2F6,By-Product Emission Factor for C2F6 Emissions from Use of HFC-32 (CH2F2) in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",28c1dee5-0c8d-47fb-a0f7-adc77811f246
VI.1,0.079,fraction,CF4,By-Product Emission Factor for CF4 Emissions from Use of HFC-32 (CH2F2) in Semiconductor Manufacturing,US,"1. Final Technical Documentation - Revision of Default Utilization Rates and By-Product Formation Rates; Revision of Default Destruction and Removal Efficiencies for Semiconductor Facilities under Subpart I; and Revision of Maximum Field Detection Limits for the Stack Test Method, U.S. Environmental Protection Agency, August 16, 2013, Docket item EPA-HQ-OAR-2011-0028-105-1. 2. Technical Support for Modifications to the Fluorinated Greenhouse Gas Emission Estimation Method Option for Semiconductor Facilities under Subpart I, Office of Air and Radiation, U.S. Environmental Protection Agency, August 2012, Docket Item EPA-HQ-OAR-2011-0028-0083. 3. Report to EPA on Etch Factor Proposal for Fab GHG Emissions Reporting, Semiconductor Industry Association, February 28, 2012, Docket item EPA-HQ-OAR-2011-0074. 4. Draft Emission Factors for Refined Semiconductor Manufacturing Process Categories, U.S. Environmental Protection Agency, May 2010, Docket item EPA-HQ-OAR-2009-0927-0073. 5. Etch Process Equipment Emissions Characterization Data, ISMI ESH Technology Center, January 31, 2012, Docket item EPA-HQ-OAR-2011-0028-0071. 6. Additional Etch Emissions Characterization Data, January 16, 2013, Docket item EPA-HQ-OAR-2011-0028-0095, Attachment A.",7e27dd18-d662-49a5-8e91-ab0062957711
