Year,Sector,Subsector,Emissions (tCO2e),Activity,Unit,Source
2022,IPPU,Industrial processes 95,1256.2,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 96,1268.5,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 97,1280.8,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 98,100.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 99,112.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 100,124.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 101,136.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 102,149.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 103,161.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 104,173.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 105,186.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 106,198.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 107,210.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 108,223.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 109,235.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 110,247.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 111,259.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 112,272.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 113,284.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 114,296.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 115,309.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 116,321.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 117,333.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 118,346.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 119,358.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 120,370.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 121,382.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 122,395.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 123,407.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 124,419.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 125,432.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 126,444.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 127,456.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 128,469.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 129,481.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 130,493.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 131,505.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 132,518.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 133,530.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 134,542.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 135,555.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 136,567.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 137,579.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 138,592.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 139,604.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 140,616.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 141,628.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 142,641.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 143,653.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 144,665.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 145,678.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 146,690.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 147,702.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 148,715.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 149,727.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 150,739.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 151,751.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 152,764.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 153,776.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 154,788.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 155,801.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 156,813.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 157,825.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 158,838.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 159,850.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 160,862.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 161,874.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 162,887.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 163,899.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 164,911.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 165,924.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 166,936.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 167,948.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 168,961.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 169,973.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 170,985.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 171,997.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 172,1010.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 173,1022.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 174,1034.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 175,1047.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 176,1059.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 177,1071.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 178,1084.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 179,1096.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 180,1108.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 181,1120.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 182,1133.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 183,1145.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 184,1157.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 185,1170.1,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 186,1182.4,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 187,1194.7,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 188,1207.0,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 189,1219.3,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 190,1231.6,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 191,1243.9,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 192,1256.2,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 193,1268.5,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 194,1280.8,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 195,100.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 196,112.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 197,124.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 198,136.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 199,149.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 200,161.5,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 201,173.8,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 202,186.1,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 203,198.4,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 204,210.7,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 205,223.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 206,235.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 207,247.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 208,259.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 209,272.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 210,284.5,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 211,296.8,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 212,309.1,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 213,321.4,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 214,333.7,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 215,346.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 216,358.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 217,370.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 218,382.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 219,395.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 220,407.5,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 221,419.8,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 222,432.1,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 223,444.4,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 224,456.7,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 225,469.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 226,481.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 227,493.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 228,505.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 229,518.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 230,530.5,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 231,542.8,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 232,555.1,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 233,567.4,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 234,579.7,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 235,592.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 236,604.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 237,616.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 238,628.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 239,641.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 240,653.5,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 241,665.8,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 242,678.1,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 243,690.4,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 244,702.7,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 245,715.0,Process emissions,tonnes,Stress fixture inventory
2022,Stationary Energy,Residential buildings 246,727.3,Natural gas,TJ,Stress fixture inventory
2022,Stationary Energy,Commercial buildings 247,739.6,Electricity,MWh,Stress fixture inventory
2022,Transportation,On-road 248,751.9,Diesel,liters,Stress fixture inventory
2022,Waste,Solid waste disposal 249,764.2,Municipal waste,tonnes,Stress fixture inventory
2022,IPPU,Industrial processes 250,776.5,Process emissions,tonnes,Stress fixture inventory
