locode,osmid
IT SL8,R45914
IT SL9,R43822
IT SLA,R39656
IT SLD,R46203
IT SLE,R46829
IT SLG,R43370
IT SLH,R43761
IT SLI,R45561
IT SLL,R39559
IT SLM,R44626
IT SLN,R47045
IT SLO,R45412
IT SLP,R41721
IT SLR,R43786
IT SLS,R43173
IT SLT,R42105
IT SLU,R44976
IT SLV,N5555206523
IT SLW,R44793
IT SLX,R45208
IT SLZ,R44413
IT SM2,R40710
IT SM3,R46990
IT SM4,R42497
IT SM5,R46677
IT SM6,R92386
IT SM7,N302964972
IT SM8,N1426435162
IT SM9,N61753691
IT SMA,R41734
IT SMB,R45572
IT SMC,R41043
IT SMD,R44165
IT SME,N317001088
IT SMF,R43676
IT SMG,R39211
IT SMH,R41195
IT SMI,R42546
IT SMK,N704386965
IT SML,R43036
IT SMM,R43058
IT SMN,R42465
IT SMO,R44201
IT SMP,N9127314203
IT SMQ,R39328
IT SMR,R39974
IT SMS,R45096
IT SMT,R43198
IT SMU,R45508
IT SMV,R44430
IT SMX,N3038931799
IT SMY,N661995666
IT SMZ,N1237728353
IT SN2,R41263
IT SN3,R42675
IT SN4,R41377
IT SN6,N61753709
IT SN8,N540310869
IT SNA,R42398
IT SNB,R43440
IT SNC,R40416
IT SND,R46963
IT SNE,R43839
IT SNG,R41072
IT SNH,N824104179
IT SNI,R41047
IT SNL,R42373
IT SNN,N2487325068
IT SNO,N526554887
IT SNP,N3980125044
IT SNR,R39529
IT SNS,R41055
IT SNT,N1457543034
IT SNU,R44374
IT SNV,R46383
IT SNW,R46358
IT SNX,R45789
IT SNY,R44926
IT SNZ,R40914
IT SO2,R40639
IT SO3,N2520770183
IT SO8,R45606
IT SO9,R39904
IT SOA,R44342
IT SOB,R46173
IT SOC,R42007
IT SOD,N606906867
IT SOE,R40331
IT SOF,R46885
IT SOG,R44276
IT SOH,R44438
IT SOI,R44379
IT SOL,R40780
IT SOM,R44987
IT SON,R44809
IT SOO,R39700
IT SOP,R179254
IT SOR,N6383141577
IT SOS,R44703
IT SOT,R45816
IT SOV,R44920
IT SOX,R43808
IT SOZ,R45730
IT SP2,N506460267
IT SP3,R40486
IT SP4,R39726
IT SP5,R43754
IT SP6,R39898
IT SPA,N6783494805
IT SPB,N300702058
IT SPC,R47246
IT SPE,R42842
IT SPG,R41221
IT SPH,R40147
IT SPI,R43254
IT SPL,R42266
IT SPM,R45402
IT SPN,N3314748213
IT SPO,R44155
IT SPP,N1937961361
IT SPQ,R43593
IT SPR,R42013
IT SPS,R43472
IT SPT,R46266
IT SPU,R43836
IT SPV,R44494
IT SPX,R44844
IT SPZ,R40026
IT SQI,R179245
IT SQN,R179233
IT SQO,R45917
IT SQR,R40353
IT SQZ,R40531
IT SR2,R40055
IT SR3,R40797
IT SR9,N1775298362
IT SRA,N6448651713
IT SRB,R44520
IT SRC,R40728
IT SRD,R45362
IT SRE,R42651
IT SRG,R45009
IT SRH,N290948651
IT SRI,R45687
IT SRJ,R39671
IT SRL,R42206
IT SRM,R43492
IT SRN,R45496
IT SRO,R40765
IT SRP,N2314421913
IT SRR,R43353
IT SRS,R43818
IT SRT,R45900
IT SRU,R42738
IT SRV,R43500
IT SRZ,R46051
IT SS2,R40847
IT SS8,R40648
IT SS9,R40870
IT SSA,R41738
IT SSB,R43479
IT SSC,R42495
IT SSD,R44576
IT SSE,R45330
IT SSF,R42678
IT SSG,R45245
IT SSI,N2246343236
IT SSJ,R42259
IT SSK,R42570
IT SSL,R43164
IT SSM,R43074
IT SSN,R39808
IT SSO,N4031085715
IT SSP,R43170
IT SSR,R42849
IT SSS,R9380412
IT SST,R42339
IT SSU,R43229
IT SSV,N61753440
IT SSW,N436978156
IT SSZ,R45262
IT ST2,N312565316
IT ST5,N64778464
IT ST7,N3881181972
IT STA,R40968
IT STC,N3239099307
IT STF,R42671
IT STG,R44035
IT STI,R45087
IT STN,R42814
IT STO,R46033
IT STP,R46785
IT STR,N5809113329
IT STS,R46337
IT STT,R44271
IT STV,R46713
IT STX,R42022
IT STZ,R45562
IT SU2,R40536
IT SU3,R40902
IT SUA,R44287
IT SUC,R44618
IT SUD,R41208
IT SUE,R44358
IT SUF,R39729
IT SUI,R45624
IT SUL,N2010979074
IT SUN,R45504
IT SUO,R42523
IT SUP,R45959
IT SUR,R45867
IT SUS,R46336
IT SUT,R44123
IT SUV,N927267058
IT SUZ,R45728
IT SV2,R40547
IT SV3,R42286
IT SV4,R40844
IT SVA,R14402640
IT SVB,R45599
IT SVC,R39528
IT SVD,R43476
IT SVE,N1185166059
IT SVF,R41294
IT SVG,N2082437505
IT SVI,R43461
IT SVL,R1653089
IT SVN,R43007
IT SVO,R41384
IT SVP,R46402
IT SVQ,R39892
IT SVR,R40763
IT SVS,R43898
IT SVT,R179173
IT SVV,R40814
IT SVX,N353935371
IT SVY,N420481735
IT SVZ,R42780
IT SX8,R179212
IT SXD,R45456
IT SXG,N1263524140
IT SXM,R41879
IT SXN,R44134
IT SXO,R45538
IT SXX,R43090
IT SYD,R43875
IT SZ3,R42530
IT SZA,R43929
IT SZB,R44148
IT SZD,R43518
IT SZE,R45462
IT SZG,R44496
IT SZI,R44712
IT SZJ,R40368
IT SZM,R42779
IT SZN,R45097
IT SZO,R45250
IT SZP,R46066
IT SZS,N1774650391
IT SZT,R45824
IT SZV,N1415914861
IT SZZ,R44885
IT T5R,R41075
IT T7B,R3411724
IT T8V,R44309
IT T9O,R42086
IT T9R,R44096
IT TA2,R41236
IT TA7,R41037
IT TAA,R40674
IT TAB,R45772
IT TAG,R40702
IT TAI,R40320
IT TAL,N6806088639
IT TAM,R44219
IT TAN,R43984
IT TAO,R39384
IT TAR,R40452
IT TAS,R40463
IT TAT,R41998
IT TAU,R40997
IT TAV,R41035
IT TBA,R44890
IT TBD,R45849
IT TBE,R296198
IT TBH,R47285
IT TBL,R39742
IT TBN,N1505629701
IT TBO,N3074598777
IT TBR,N789709515
IT TBZ,R45989
IT TC4,R41723
IT TCA,R41988
IT TCC,R40123
IT TCI,R43861
IT TCL,N1673829962
IT TCM,R179169
IT TCN,R46698
IT TCO,R42311
IT TCP,R44587
IT TCR,R44856
IT TCT,R179096
IT TCU,R41140
IT TCV,R44899
IT TCZ,R45089
IT TDC,R41830
IT TDE,R43665
IT TDF,N1165958962
IT TDG,R40755
IT TDI,R42137
IT TDM,N4677162900
IT TDN,R46137
IT TDO,R45737
IT TDP,R42216
IT TDQ,R45165
IT TDR,N64776683
IT TDS,R41831
IT TDT,R46601
IT TDV,N9464457626
IT TDZ,N2830310501
IT TEA,R40162
IT TEB,R42486
IT TEE,N66503557
IT TEF,R39456
IT TEG,R45187
IT TEL,R45475
IT TEM,R43953
IT TEN,N347389454
IT TEO,R42107
IT TEP,N1715193259
IT TER,R42064
IT TES,N873845080
IT TEX,R43399
IT TEZ,R43455
IT TFO,R44421
IT TFR,R43886
IT TFV,R179106
IT TG9,R40469
IT TGA,R42668
IT TGB,R39368
IT TGC,R179203
IT TGG,R45619
IT TGI,R44720
IT TGL,R45195
IT TGN,R41804
IT TGO,R45219
IT TGR,N316054219
IT TGS,N5396658460
IT TGU,R44859
IT THA,R46721
IT THE,R45711
IT THI,R40558
IT TIA,R42405
IT TIC,R44820
IT TIG,R43521
IT TII,N1399961770
IT TIL,R43785
IT TIN,R42409
IT TIT,R40579
IT TIV,R41662
IT TL8,N1440842544
IT TLA,R45000
IT TLG,R45434
IT TLI,R42202
IT TLL,R44706
IT TLM,R8373544
IT TLO,R45201
IT TLP,R43878
IT TLS,R41147
IT TLV,N1852235326
IT TLY,N3393854857
IT TLZ,R41715
IT TMA,R46870
IT TMD,R43018
IT TMF,R43335
IT TMG,R46029
IT TMI,R41671
IT TMN,N2004388216
IT TMO,R179136
IT TMS,R45627
IT TMT,R41796
IT TN5,R42181
IT TN9,R41000
IT TNA,N1265062054
IT TNC,R46236
IT TNI,R41152
IT TNM,R46259
IT TNO,R47003
IT TNR,R47091
IT TNS,R46802
IT TNT,R46124
IT TO2,R44067
IT TOA,R40726
IT TOB,N765835506
IT TOC,R43985
IT TOD,R44592
IT TOE,R179274
IT TOG,R44715
IT TOH,R42575
IT TOI,R43800
IT TOL,R42350
IT TOM,R45528
IT TON,R42804
IT TOO,R43068
IT TOR,R44751
IT TOS,R45645
IT TOV,R45800
IT TPA,R44449
IT TPC,R45053
IT TPE,R43643
IT TPO,N290891177
IT TPR,R44431
IT TPS,R39404
IT TQU,R42348
IT TR2,R39353
IT TR3,N64776888
IT TR4,R44526
IT TR5,R43422
IT TR8,R46969
IT TR9,R40546
IT TRA,R45623
IT TRB,R45156
IT TRC,R41209
IT TRD,R45779
IT TRE,R44935
IT TRF,R43489
IT TRG,R41922
IT TRH,N310076019
IT TRI,R39437
IT TRK,R42101
IT TRL,R46135
IT TRN,R43992
IT TRO,R45326
IT TRP,R39696
IT TRQ,R41828
IT TRR,R44192
IT TRS,R179180
IT TRT,R46663
IT TRV,R45511
IT TRX,R46923
IT TRY,R44403
IT TRZ,R45429
IT TS9,R42124
IT TSA,R44000
IT TSB,R45748
IT TSC,R44313
IT TSE,R40141
IT TSG,R43545
IT TSL,R44444
IT TSM,R45950
IT TSN,R42341
IT TSO,R47037
IT TSP,R5473418
IT TSS,R43531
IT TST,N703220966
IT TSU,R40539
IT TT2,R42079
IT TTA,R43674
IT TTC,N1425378206
IT TTE,N1037727663
IT TTF,N256706687
IT TTG,R40777
IT TTL,R42184
IT TTM,R40948
IT TTN,R40836
IT TTO,N517882434
IT TTP,N414031914
IT TTQ,R42491
IT TTR,R42113
IT TTS,R43222
IT TTT,N3922922136
IT TTV,N1444389477
IT TTX,R40549
IT TTZ,R40046
IT TUF,N1740816066
IT TUR,R47335
IT TUT,R45322
IT TUV,R39611
IT TVA,R47033
IT TVC,R179079
IT TVD,N61753427
IT TVE,R10463056
IT TVG,R45173
IT TVI,R45778
IT TVL,R45668
IT TVN,R45253
IT TVO,R179210
IT TVR,R46147
IT TVS,R179140
IT TVT,R41511
IT TVU,R42662
IT TVV,N1222137535
IT TVY,R40995
IT TXN,R46048
IT TXO,R42280
IT TY6,N3708718226
IT TYA,R44187
IT TYB,R42367
IT TYC,R40750
IT TYF,R41014
IT TYI,R40685
IT TYL,R40254
IT TYO,R41231
IT TYP,R43991
IT TYR,R44560
IT TYS,R43847
IT TYT,R39302
IT TYU,R41554
IT TYV,R42513
IT TZ8,R40184
IT TZA,R45071
IT TZC,R44644
IT TZI,R39935
IT TZO,R46563
IT TZR,R45400
IT TZV,R44941
IT TZZ,R44294
IT U3U,R42624
IT UAN,N1424126847
IT UAO,R44282
IT UBA,N408462709
IT UBD,R45487
IT UBE,N1427147188
IT UBN,R44417
IT UBT,R42384
IT UCC,R40967
IT UCG,R43153
IT UCP,N443011116
IT UDN,R179272
IT UDS,R179095
IT UFI,N776027791
IT UGG,R179258
IT UGO,N418865060
IT UGS,R43888
IT UHJ,R179154
IT UIN,R40421
IT UIO,R40015
IT UIS,R44676
IT UKQ,R41711
IT ULA,R40437
IT ULE,N8000316264
IT ULL,R47072
IT UMO,R40909
IT UNE,R42422
IT URB,R42568
IT URG,R45455
IT URI,N315064300
IT URL,R42319
IT URS,R42369
IT URT,R44203
IT USA,R39922
IT USG,R44250
IT USI,R42269
IT USN,R40654
IT USS,R43136
IT UST,R39708
IT UTL,R45177
IT UTV,R46227
IT UUC,R45948
IT UUD,R179128
IT UVL,R45588
IT UVO,R40343
IT UZZ,R42704
IT V2E,N3684073500
IT V2N,R42966
IT V3E,R44591
IT V4E,R44350
IT V4L,N64779161
IT V5B,R46907
IT V5F,R3411734
IT V5T,R45432
IT V7E,N1085423351
IT V7G,R42355
IT V7U,R39932
IT V8T,R40177
IT V9B,R41103
IT V9C,R44289
IT V9O,R45259
IT VA2,N1415259688
IT VA3,R46999
IT VA8,R46850
IT VAA,R43736
IT VAB,R40668
IT VAC,R43218
IT VAE,W177189036
IT VAF,R42709
IT VAG,R40450
IT VAI,R44814
IT VAL,R46095
IT VAM,R45971
IT VAN,R45874
IT VAO,R45427
IT VAP,R45453
IT VAR,R46116
IT VAT,R42077
IT VAU,R39326
IT VAV,N66503548
IT VAZ,R46187
IT VB2,R42018
IT VBA,R43501
IT VBB,N1676679938
IT VBH,R46050
IT VBM,R45844
IT VBN,R45559
IT VBO,R6598602
IT VBR,R44106
IT VBS,R44068
IT VBW,R46529
IT VC2,R44502
IT VC3,R46921
IT VC5,R45277
IT VC9,R43215
IT VCC,N927267012
IT VCD,R39919
IT VCE,R44741
IT VCI,R42603
IT VCL,R41057
IT VCN,R45564
IT VCO,N1944721634
IT VCP,N245006298
IT VCQ,R44424
IT VCR,R46205
IT VCS,N254258391
IT VCT,R44883
IT VCV,R44216
IT VCZ,R44840
IT VD2,N2801326519
IT VD5,R179168
IT VD8,N418013839
IT VD9,R9171195
IT VDA,N1796684216
IT VDB,R46055
IT VDD,R45802
IT VDE,R1653091
IT VDF,R40999
IT VDI,R43805
IT VDL,R42975
IT VDM,R45233
IT VDN,R43797
IT VDP,R46341
IT VDR,R3494741
IT VDS,R47327
IT VDT,N906641805
IT VDU,R40352
IT VDV,R44743
IT VDX,N822770534
IT VDZ,R45054
IT VE2,R45516
IT VEA,R46498
IT VEC,R42655
IT VED,R1650908
IT VEE,R44400
IT VEG,R45911
IT VEI,R44158
IT VEL,R45615
IT VEM,R47298
IT VEN,R42680
IT VEO,R45125
IT VEP,R42054
IT VEQ,R40640
IT VER,R44694
IT VES,R44306
IT VEU,R47338
IT VEV,R45075
IT VEX,R179252
IT VEZ,R43569
IT VFA,R43264
IT VFO,N1737479176
IT VFQ,R44802
IT VFR,R43782
IT VG3,R43684
IT VG4,R44103
IT VG8,N316509146
IT VGA,R45818
IT VGC,R40440
IT VGD,R44826
IT VGE,R39303
IT VGG,N343861603
IT VGH,R43902
IT VGI,R44991
IT VGK,R41982
IT VGL,N1093817318
IT VGM,R43672
IT VGN,R43951
IT VGO,R45458
IT VGQ,R3411571
IT VGR,N720632789
IT VGS,R46003
IT VGT,R45833
IT VGU,R44563
IT VGV,R44586
IT VGX,R43490
IT VGZ,R43704
IT VHO,R42720
IT VI2,R43078
IT VI8,R41846
IT VIA,R42664
IT VIB,N4407589576
IT VIC,R45159
IT VID,R42805
IT VIE,R41547
IT VIG,R43696
IT VIH,R39167
IT VII,R45760
IT VIL,R46458
IT VIM,R45425
IT VIN,R46773
IT VIO,R45931
IT VIP,R43741
IT VIR,N1408643818
IT VIS,R44661
IT VIT,R41946
IT VIV,R47152
IT VIZ,R44979
IT VJV,R43659
IT VL2,R45520
IT VL3,R40890
IT VL5,R39577
IT VL8,R46493
IT VL9,R40977
IT VLA,R40846
IT VLB,R39310
IT VLC,R45336
IT VLD,R45878
IT VLE,R45298
IT VLG,N2470942919
IT VLH,N3455402012
IT VLI,R45446
IT VLL,R179225
IT VLM,R46297
IT VLN,R46500
IT VLO,R41112
IT VLQ,N1447148192
IT VLR,R40880
IT VLS,R46778
IT VLT,N339097488
IT VLU,R45083
IT VLV,R46440
IT VLZ,R43986
IT VMA,R44641
IT VMD,R45197
IT VME,R41531
IT VMF,R44386
IT VMG,R41950
IT VMI,N2815922307
IT VMN,N424192369
IT VMO,R43056
IT VMP,R43856
IT VMS,N517882433
IT VMZ,N62514385
IT VN2,N1271008876
IT VN8,R41323
IT VNA,R44335
IT VNB,N768581732
IT VNC,N34162574
IT VND,N64776961
IT VNE,N1905851702
IT VNF,R41295
IT VNG,R9499520
IT VNI,R12321801
IT VNL,R44602
IT VNN,N1265954995
IT VNO,R45856
IT VNR,R41165
IT VNS,R43274
IT VNT,R45131
IT VNZ,R45184
IT VOA,R39292
IT VOD,R44140
IT VOE,R46421
IT VOI,R45911
IT VOL,R43850
IT VOM,R39349
IT VON,N1447202023
IT VOO,R45809
IT VOP,R44698
IT VOR,R45828
IT VOS,R10463058
IT VOT,R41803
IT VOX,R42794
IT VOY,R46730
IT VP5,R10463067
IT VPA,R44799
IT VPC,R43583
IT VPD,R45327
IT VPG,R43768
IT VPI,R44389
IT VPK,R39594
IT VPM,R45666
IT VPO,R43588
IT VPP,R47334
IT VPS,R43789
IT VPT,R44257
IT VPV,R45038
IT VPZ,R41026
IT VQO,R44221
IT VQT,R43183
IT VR7,R44360
IT VRA,R44622
IT VRC,R42727
IT VRD,R45416
IT VRE,R44259
IT VRF,R44660
IT VRG,N604980739
IT VRI,R41454
IT VRL,R1552703
IT VRN,R44830
IT VRO,R45386
IT VRR,R45692
IT VRT,R46214
IT VRU,R43469
IT VRV,R46555
IT VRY,R45970
IT VRZ,R43105
IT VS2,R1650906
IT VS5,R43391
IT VSA,R43973
IT VSB,R44343
IT VSC,R43327
IT VSD,R46303
IT VSE,R43413
IT VSI,R43799
IT VSL,R41315
IT VSM,R44699
IT VSN,R45483
IT VSO,R41763
IT VSR,R2662916
IT VST,R46956
IT VSU,R39814
IT VSV,R42838
IT VSZ,R40935
IT VT3,R39591
IT VT9,N863738650
IT VTB,R41816
IT VTC,R45522
IT VTE,R44680
IT VTG,R42085
IT VTI,N290890524
IT VTL,R179202
IT VTM,R45861
IT VTN,R45777
IT VTP,N979826162
IT VTR,R44461
IT VTS,R43085
IT VTT,R40782
IT VUD,N292695754
IT VUL,N687570129
IT VUO,N63628298
IT VUS,R44372
IT VUU,R40005
IT VV2,R41930
IT VV3,N1865673313
IT VV9,N292996685
IT VVA,R39682
IT VVB,R42098
IT VVE,N66503077
IT VVI,R42000
IT VVL,R45610
IT VVN,R43240
IT VVO,R43848
IT VVP,R43980
IT VVQ,R41579
IT VVR,R43637
IT VVS,R40959
IT VVT,R41424
IT VVZ,N4429692929
IT VXP,R41170
IT VZ6,R45232
IT VZA,R43899
IT VZB,R41011
IT VZG,R44582
IT VZH,R45374
IT VZL,R42894
IT VZN,R42892
IT VZO,R43767
IT VZP,R44771
IT VZU,R43341
IT VZV,R39678
IT VZZ,N64776710
IT WAO,R39183
IT WCO,N471499718
IT WCV,R46562
IT WF2,R46307
IT WR3,N975862077
IT XAA,R39903
IT XAC,R40852
IT XAN,R46918
IT XAV,R45203
IT XCA,R43683
IT XCC,R42500
IT XCM,N4116636718
IT XCO,R42110
IT XCP,R42525
IT XCR,N1727509539
IT XCT,R42578
IT XCU,N684374097
IT XEE,R40228
IT XFF,R42443
IT XGG,R42835
IT XIO,R43356
IT XLO,N1447912157
IT XMA,R3276895
IT XML,R45628
IT XMM,R40926
IT XMO,R43123
IT XMS,R43776
IT XNN,R40759
IT XNO,R40773
IT XOB,R39959
IT XOL,R46787
IT XOO,R42120
IT XOS,R45527
IT XPC,R43970
IT XPG,R40563
IT XPL,R40985
IT XPR,R42985
IT XRA,R179087
IT XRN,R40790
IT XRO,R41577
IT XRR,R42351
IT XSA,R42131
IT XSG,R44955
IT XSL,R42449
IT XSP,R39877
IT XSV,N336483540
IT XUO,R43927
IT XUY,N760651017
IT XVC,R42359
IT XVO,R45193
IT YBB,R47266
IT YCA,R42321
IT YEM,N290074753
IT YUT,R41962
IT YZA,R46667
IT YZL,N1850589963
IT Z4E,R39849
IT Z7G,R45853
IT Z8V,R44984
IT ZAB,R45983
IT ZAC,R44704
IT ZAD,N4294779435
IT ZAE,R11643818
IT ZAF,N1634199549
IT ZAH,R40840
IT ZAI,R45907
IT ZAK,R45364
IT ZAL,R5316557
IT ZAM,N961377382
IT ZAN,R45725
IT ZAO,R44537
IT ZAP,R45992
IT ZAQ,R43734
IT ZAR,R42296
IT ZAS,R41436
IT ZAT,N291185530
IT ZAU,R39330
IT ZAV,N477332037
IT ZAX,R40778
IT ZBA,R41960
IT ZBB,R43132
IT ZBC,N1309961263
IT ZBE,R44636
IT ZBF,R40019
IT ZBG,N5410560905
IT ZBH,R44722
IT ZBI,R42235
IT ZBJ,R43946
IT ZBK,R45613
IT ZBL,R40819
IT ZBM,R43937
IT ZBN,R43783
IT ZBO,R45476
IT ZBP,R40291
IT ZBQ,R43731
IT ZBR,R42380
IT ZBT,R6598598
IT ZBU,R39553
IT ZBV,R47108
IT ZBW,R41045
IT ZBX,R42813
IT ZBY,R39618
IT ZCA,N317573399
IT ZCB,R41106
IT ZCC,R44556
IT ZCF,R39338
IT ZCG,R41060
IT ZCH,R41915
IT ZCI,R40992
IT ZCJ,R39314
IT ZCK,R39741
IT ZCL,R42854
IT ZCM,R42072
IT ZCN,R40719
IT ZCO,R45067
IT ZCP,R46151
IT ZCQ,R8373690
IT ZCR,R45084
IT ZCU,R40286
IT ZCV,R42075
IT ZCW,R41248
IT ZCY,R41404
IT ZDA,R44933
IT ZDB,R179223
IT ZDC,R42834
IT ZDD,R39498
IT ZDE,R42731
IT ZDF,R43522
IT ZDG,R45575
IT ZDH,R44709
IT ZDI,R43421
IT ZDJ,N635742944
IT ZDK,R39304
IT ZDL,N2476697406
IT ZDM,R46267
IT ZDN,R41114
IT ZDO,R39517
IT ZDP,R45683
IT ZDQ,R45406
IT ZDR,N288241789
IT ZDS,R47317
IT ZDT,R47173
IT ZDU,N62513594
IT ZDV,R41071
IT ZDW,N2461598753
IT ZDX,R45422
IT ZDY,R44062
IT ZE5,R40178
IT ZEA,R179242
IT ZEB,N2821186799
IT ZEC,R39947
IT ZED,N391104633
IT ZEE,R44146
IT ZEF,N3406769492
IT ZEH,N1789082904
IT ZEI,R45960
IT ZEJ,N442160037
IT ZEK,R44887
IT ZEL,R44486
IT ZEM,R39515
IT ZEN,R40684
IT ZEO,R43250
IT ZEP,R39227
IT ZEQ,N1828651643
IT ZES,R39451
IT ZET,R39180
IT ZEU,R42067
IT ZEW,R42234
IT ZEX,R45421
IT ZEY,R43130
IT ZFA,R42567
IT ZFB,R44408
IT ZFC,N1485676927
IT ZFD,N471499728
IT ZFE,N3842401455
IT ZFF,R45732
IT ZFG,R41904
IT ZFH,N3311624642
IT ZFI,N296874920
IT ZFJ,R41367
IT ZFK,R44702
IT ZFL,N3314748211
IT ZFM,R45783
IT ZFN,N1445381027
IT ZFO,N1423064731
IT ZFP,R303945
IT ZFQ,R45540
IT ZFR,R46025
IT ZFS,R43181
IT ZFT,N1438379704
IT ZFU,R44433
IT ZFV,N906700720
IT ZFW,R44254
IT ZFX,R46315
IT ZFY,R39269
IT ZGB,R45796
IT ZGC,R39286
IT ZGD,N1802737879
IT ZGE,N302129856
IT ZGF,R41044
IT ZGG,R179074
IT ZGH,R45367
IT ZGI,R179099
IT ZGJ,R45256
IT ZGK,R46496
IT ZGL,R39569
IT ZGN,R41012
IT ZGO,R46057
IT ZGP,R41052
IT ZGQ,R39288
IT ZGR,N62513390
IT ZGS,N2055219715
IT ZGT,R46269
IT ZGU,R39620
IT ZGV,R43739
IT ZGW,N1852235281
IT ZGX,R42418
IT ZGY,R42488
IT ZHA,R45664
IT ZHB,R44038
IT ZHC,R43177
IT ZHD,R40851
IT ZHE,N2503293210
IT ZHF,R39499
IT ZHG,R44923
IT ZHH,R45157
IT ZHI,R45162
IT ZHJ,R45035
IT ZHK,N4419413224
IT ZHL,R43863
IT ZHM,R44020
IT ZHN,R41325
IT ZHO,N301138965
IT ZHP,R46645
IT ZHQ,R44301
IT ZHR,R43796
IT ZHT,R44524
IT ZHU,N1446150769
IT ZHV,R42066
IT ZHW,R44527
IT ZHY,R44471
IT ZIA,R45170
IT ZIB,R42386
IT ZID,R39206
IT ZIE,R41023
IT ZIF,N64776820
IT ZIG,N1304621699
IT ZIH,R45742
IT ZII,R39851
IT ZIJ,R44305
IT ZIK,N4823479136
IT ZIL,N69300233
IT ZIM,R42090
IT ZIN,N3876762901
IT ZIO,R42601
IT ZIP,R41082
IT ZIR,R40786
IT ZIS,N1413019918
IT ZIT,R43435
IT ZIU,R42438
IT ZIV,R40424
IT ZIW,N2645825680
IT ZIX,R39184
IT ZJA,R45150
IT ZJB,R41766
IT ZJC,R40192
IT ZJD,N1438212986
IT ZJE,R7551033
IT ZJF,N64779149
IT ZJG,R42808
IT ZJH,N62510538
IT ZJI,R39636
IT ZJJ,R42445
IT ZJK,N1068809507
IT ZJL,R39612
IT ZJM,R42165
IT ZJN,N1705675420
IT ZJO,N1517033038
IT ZJP,R43757
IT ZJQ,R41708
IT ZJR,R46552
IT ZJT,N2998364459
IT ZJU,R39521
IT ZJV,N290893016
IT ZJW,R42711
IT ZJX,R44810
IT ZJY,R47262
IT ZKA,N331745977
IT ZKB,R179187
IT ZKD,R44538
IT ZKE,R9420796
IT ZKF,R43272
IT ZKG,R46144
IT ZKH,R44533
IT ZKI,R44401
IT ZKJ,R45978
IT ZKK,R39441
IT ZKL,R47237
IT ZKM,N1263968124
IT ZKN,R45387
IT ZKO,R44615
IT ZKP,R42683
IT ZKQ,R42600
IT ZKR,R44354
IT ZKS,R9472086
IT ZKU,R46631
IT ZKV,R44081
IT ZKW,N1438389091
IT ZKX,R41320
IT ZKY,N388650309
IT ZLA,N297894006
IT ZLB,R46469
IT ZLC,R44325
IT ZLD,R41488
IT ZLF,R42764
IT ZLG,R179093
IT ZLH,N387777548
IT ZLI,R40569
IT ZLJ,N3715070426
IT ZLK,R39565
IT ZLL,R44873
IT ZLN,R41762
IT ZLO,R179103
IT ZLP,R45693
IT ZLQ,R44390
IT ZLR,R47268
IT ZLT,R46422
IT ZLU,R41443
IT ZLV,R42215
IT ZLX,R39675
IT ZLY,R39186
IT ZMA,R43595
IT ZMB,R43933
IT ZMC,N838668160
IT ZMD,R43329
IT ZME,R43345
IT ZMG,N391302155
IT ZMH,N262616853
IT ZMJ,N715218173
IT ZMK,R44893
IT ZML,R44765
IT ZMM,N2783302221
IT ZMN,R44590
IT ZMP,R39928
IT ZMR,R43749
IT ZMS,N1394053554
IT ZMU,R45133
IT ZMV,R40426
IT ZMW,R44046
IT ZMX,R39625
IT ZMY,R45489
IT ZNC,R45534
IT ZND,R45004
IT ZNE,R45862
IT ZNF,R45063
IT ZNG,R41066
IT ZNH,R42650
IT ZNI,R39468
IT ZNJ,R39523
IT ZNL,R46062
IT ZNM,N1207681373
IT ZNN,R41261
IT ZNO,R43524
IT ZNP,R43577
IT ZNQ,R42377
IT ZNR,R43408
IT ZNS,N1728875549
IT ZNT,R46248
IT ZNU,R42633
IT ZNV,R43816
IT ZNW,R179081
IT ZNX,R40415
IT ZOA,R179186
IT ZOB,R41560
IT ZOC,R42151
IT ZOD,R40333
IT ZOF,R42450
IT ZOG,R43138
IT ZOH,R42453
IT ZOI,R44827
IT ZOJ,N70982102
IT ZOK,R42552
IT ZOL,R43186
IT ZOM,R43957
IT ZON,N1425104702
IT ZOO,R43719
IT ZOP,R179282
IT ZOQ,N1712670020
IT ZOR,R45510
IT ZOS,N64779200
IT ZOT,R41824
IT ZOU,N252470476
IT ZOV,R43124
IT ZOW,R179198
IT ZOX,R41003
IT ZOY,R40712
IT ZPB,R42593
IT ZPC,N291653372
IT ZPD,N452737083
IT ZPE,N302305077
IT ZPF,R40957
IT ZPG,R44842
IT ZPH,R47090
IT ZPI,N302692796
IT ZPJ,R46000
IT ZPK,R42494
IT ZPL,R40455
IT ZPM,R42517
IT ZPO,R46023
IT ZPP,R39277
IT ZPQ,R41378
IT ZPR,N2700541461
IT ZPS,N2898693574
IT ZPT,R39220
IT ZPU,R46349
IT ZPV,R41004
IT ZPW,R42748
IT ZPX,N1286378455
IT ZPY,R42585
IT ZPZ,R40026
IT ZQA,N1510289664
IT ZQC,N62512561
IT ZQD,R45371
IT ZQE,N330490111
IT ZQF,R40621
IT ZQG,R5326772
IT ZQH,R42690
IT ZQI,R44014
IT ZQJ,R46071
IT ZQK,R46946
IT ZQL,R42395
IT ZQN,R45337
IT ZQO,R44997
IT ZQP,R46895
IT ZQQ,R40908
IT ZQR,R179102
IT ZQS,R43803
IT ZQT,R41746
IT ZQU,R46390
IT ZQV,R45176
